0	9	11	15	18	22	23
1	0	2	1	2	5	0
1	0	3	4	1	4	5
1	0	0	2	2	3	4
1	0	2	4	2	3	0
1	0	2	3	2	6	0
1	0	2	3	2	5	0
1	0	4	4	2	3	4
1	0	2	3	2	3	3
1	0	2	1	3	7	0
1	0	1	3	2	5	0
2	0	0	0	0	2	2
2	0	0	1	0	3	0
2	0	0	1	0	0	2
2	0	0	1	1	2	0
2	0	0	2	0	2	0
2	0	0	1	0	0	0
2	0	99	99	99	99	99
2	0	0	1	1	2	2
2	0	0	1	0	1	0
2	0	0	2	1	4	0
3	0	0	0	0	0	1
3	0	0	1	1	4	0
3	0	0	0	1	2	2
3	0	0	1	99	99	99
3	0	0	1	0	2	1
3	0	0	0	1	2	0
3	0	0	0	0	1	0
3	0	0	1	1	2	0
3	0	0	0	0	0	0
4	0	0	0	0	1	0
4	0	0	0	1	2	0
4	0	0	1	0	4	0
4	0	0	1	0	2	0
4	0	0	0	0	2	0
4	0	0	0	0	2	0
4	0	0	1	0	2	0
4	0	0	0	1	1	0
4	0	0	0	2	1	0
4	0	0	0	1	0	0
5	0	2	3	102	99	99
5	0	1	2	101	99	99
5	0	1	103	99	99	99
5	0	0	3	0	99	99
5	0	1	3	99	99	99
5	0	3	4	99	99	99
5	0	0	5	0	99	99
5	0	2	103	99	99	99
5	0	3	2	3	0	99
6	0	0	3	4	3	0
6	0	0	6	3	2	0
6	0	99	99	99	99	99
6	0	1	99	99	99	99
6	0	101	99	99	99	99
6	0	101	99	99	99	99
7	0	0	0	2	2	0
7	0	0	99	99	99	99
7	0	0	0	1	3	0
7	0	0	1	2	2	0
7	0	0	2	1	1	0
7	0	0	0	99	99	99
7	0	99	99	99	99	99
7	0	1	1	1	4	0
7	0	0	2	2	3	0
7	0	0	0	2	1	2
7	0	0	1	1	3	0
7	0	0	1	1	3	0
8	0	0	0	0	99	99
8	0	0	0	0	3	0
8	0	0	1	0	3	2
8	0	0	0	0	99	99
8	0	0	0	0	0	0
8	0	0	0	0	2	0
8	0	0	99	99	99	99
8	0	0	0	0	1	0
8	0	0	0	1	2	3
8	0	0	99	99	99	99
8	0	0	0	1	3	2
8	0	0	99	99	99	99
8	0	0	0	1	2	0
8	0	0	0	0	7	0
8	0	0	0	0	3	2
8	0	0	0	1	3	3
8	0	0	0	0	1	4
9	0	0	99	99	99	99
9	0	0	0	0	1	0
9	0	0	0	0	0	0
9	0	0	0	0	0	0
9	0	0	0	0	1	0
9	0	0	0	0	1	0
9	0	0	0	0	1	0
9	0	0	0	0	2	0
9	0	99	99	99	99	99
9	0	0	0	0	0	1
9	0	0	0	0	2	4
9	0	0	1	0	3	4
9	0	0	0	1	2	4
9	0	0	0	0	2	0
9	0	0	0	2	3	0
9	0	0	0	2	3	3
9	0	0	1	1	1	4
9	0	0	0	0	2	3
10	0	5	4	4	10	1
10	0	3	5	5	4	1
10	0	2	7	3	2	1
10	0	4	9	8	2	9
10	0	99	99	99	99	99
10	0	0	8	6	2	5
10	0	3	9	5	2	0
10	0	4	12	4	5	9
10	0	0	108	99	99	99
11	0	3	1	5	7	0
11	0	0	7	3	5	4
11	0	0	5	5	4	6
11	0	4	2	4	10	0
11	0	0	5	4	6	8
11	0	0	7	3	12	0
11	0	0	4	4	12	0
11	0	2	4	4	6	0
11	0	0	4	4	6	8
11	0	0	6	4	6	6
11	0	0	4	4	4	8
12	0	0	1	1	5	7
12	0	0	3	1	4	6
12	0	2	1	2	7	0
12	0	0	0	0	2	0
12	0	0	2	3	5	6
12	0	0	3	3	7	7
12	0	1	4	4	5	8
12	0	0	3	4	4	4
12	0	0	2	3	6	6
12	0	1	1	1	8	0
12	0	0	0	4	15	0
13	0	1	1	1	4	6
13	0	0	3	2	4	7
13	0	0	2	3	11	0
13	0	101	99	99	99	99
13	0	1	2	2	4	0
13	0	1	1	1	4	4
13	0	1	1	3	3	7
13	0	1	2	5	4	0
13	0	0	3	2	4	7
13	0	1	2	3	6	7
13	0	0	1	3	5	5
14	0	2	9	99	99	99
14	2	0	7	99	99	99
14	0	2	10	99	99	99
14	0	3	7	0	101	99
14	0	2	6	99	99	99
14	0	0	9	99	99	99
14	0	1	4	99	99	99
14	0	1	5	1	99	99
14	0	4	12	99	99	99
14	0	2	105	99	99	99
14	0	2	10	99	99	99
14	0	2	109	99	99	99
15	0	0	3	4	2	0
15	0	0	4	102	99	99
15	0	1	6	3	0	99
16	0	1	3	5	2	99
16	0	1	2	4	5	7
16	0	2	3	5	11	0
16	0	2	99	99	99	99
16	0	0	5	4	6	8
16	0	0	5	4	8	0
16	0	99	99	99	99	99
16	0	0	4	4	6	6
16	0	2	3	6	5	0
17	0	99	99	99	99	99
17	0	99	99	99	99	99
17	0	0	99	99	99	99
17	0	0	2	2	3	6
17	0	1	1	6	6	0
17	0	0	0	3	12	0
17	0	0	0	1	10	0
17	0	0	1	99	99	99
17	0	1	1	7	5	9
17	0	0	0	2	5	5
18	0	0	2	2	4	99
18	0	2	1	1	0	99
19	0	0	2	2	10	0
19	0	0	1	3	5	5
19	0	0	2	99	99	99
19	0	0	1	3	7	0
19	0	0	3	3	5	99
19	0	0	3	4	4	4
19	0	1	1	3	6	7
19	0	0	2	2	5	6
19	0	0	101	99	99	99
19	0	0	102	99	99	99
19	0	0	2	1	2	2
19	0	0	99	99	99	99
19	0	2	99	99	99	99
19	0	1	1	4	1	2
19	0	0	1	2	6	4
						
						
						
